errorRate,startTime,FlowID,SourceAddress,DestinatioAddress,TxPackets,RxPackets,Throughput,Latency,,,,,,,,,,,,,,,,,
0.07,105,1,10.1.1.1,10.1.2.2,18118,15610,0.705185,37.7358,,,,,,,,,,,,,,,,,
0.08,15,1,10.1.1.1,10.1.2.2,470,397,0.204719,22.7809,,For Rows 82-91,,errorRate = 0.08,,,,,,,,,,,,,
0.08,25,1,10.1.1.1,10.1.2.2,2376,1995,0.488632,34.1027,,"Throughput - Mean: 0.5127545, Standard Deviation: 0.11789378545326297, Variance: 0.0138989446485",,,,,,,,,,,,,,,
0.08,35,1,10.1.1.1,10.1.2.2,3720,3123,0.485439,35.264,,"Latency - Mean: 37.27323, Standard Deviation: 5.642906903567817, Variance: 31.84239832233333",,,,,,,,,,,,,,,
0.08,45,1,10.1.1.1,10.1.2.2,4472,3753,0.506296,38.6705,,"Throughput - Width of Confidence Interval: 0.1366806595363098, Confidence Interval: (0.3760738404636902, 0.6494351595363098)",,,,,,,,,,,,,,,
0.08,55,1,10.1.1.1,10.1.2.2,6592,5511,0.502894,41.6812,,"Latency - Width of Confidence Interval: 6.5421280207123775, Confidence Interval: (30.731101979287622, 43.815358020712374)",,,,,,,,,,,,,,,
0.08,65,1,10.1.1.1,10.1.2.2,8871,7471,0.575282,41.3199,,,,,,,,,,,,,,,,,
0.08,75,1,10.1.1.1,10.1.2.2,10772,9079,0.597146,39.7194,,,,,,,,,,,,,,,,,
0.08,85,1,10.1.1.1,10.1.2.2,12363,10405,0.591552,40.1245,,,,,,,,,,,,,,,,,
0.08,95,1,10.1.1.1,10.1.2.2,13529,11380,0.576939,39.9621,,,,,,,,,,,,,,,,,
0.08,105,1,10.1.1.1,10.1.2.2,15587,13136,0.598646,39.1071,,,,,,,,,,,,,,,,,
0.09,15,1,10.1.1.1,10.1.2.2,1331,1093,0.54327,25.107,,For Rows 92-101,,errorRate = 0.09,,,,,,,,,,,,,
0.09,25,1,10.1.1.1,10.1.2.2,2326,1919,0.453742,30.2851,,"Throughput - Mean: 0.5944854, Standard Deviation: 0.060158504392239597, Variance: 0.0036190456507111104",,,,,,,,,,,,,,,
0.09,35,1,10.1.1.1,10.1.2.2,4444,3654,0.577479,31.5882,,"Latency - Mean: 35.132529999999996, Standard Deviation: 4.73718396120874, Variance: 22.44091188233333",,,,,,,,,,,,,,,
0.09,45,1,10.1.1.1,10.1.2.2,6212,5023,0.575783,35.3082,,"Throughput - Width of Confidence Interval: 0.06974501688478714, Confidence Interval: (0.5247403831152129, 0.6642304168847872)",,,,,,,,,,,,,,,
0.09,55,1,10.1.1.1,10.1.2.2,8249,6687,0.610074,35.851,,"Latency - Width of Confidence Interval: 5.492074291053472, Confidence Interval: (29.640455708946526, 40.624604291053465)",,,,,,,,,,,,,,,
0.09,65,1,10.1.1.1,10.1.2.2,10254,8412,0.637135,39.2509,,,,,,,,,,,,,,,,,
0.09,75,1,10.1.1.1,10.1.2.2,11754,9693,0.629736,39.5106,,,,,,,,,,,,,,,,,
0.09,85,1,10.1.1.1,10.1.2.2,13751,11337,0.645605,38.2812,,,,,,,,,,,,,,,,,
0.09,95,1,10.1.1.1,10.1.2.2,15152,12499,0.627846,37.1964,,,,,,,,,,,,,,,,,
0.09,105,1,10.1.1.1,10.1.2.2,17414,14268,0.644184,38.9467,,,,,,,,,,,,,,,,,
0.1,15,1,10.1.1.1,10.1.2.2,450,364,0.188349,22.7928,,For Rows 102-111,,errorRate = 0.1,,,,,,,,,,,,,
0.1,25,1,10.1.1.1,10.1.2.2,1590,1282,0.303797,35.274,,"Throughput - Mean: 0.3379717, Standard Deviation: 0.061825774321520276, Variance: 0.003822426370455556",,,,,,,,,,,,,,,
0.1,35,1,10.1.1.1,10.1.2.2,2383,1920,0.327781,35.3876,,"Latency - Mean: 35.50472, Standard Deviation: 5.230765919867228, Variance: 27.36091210844444",,,,,,,,,,,,,,,
0.1,45,1,10.1.1.1,10.1.2.2,4006,3231,0.381254,33.3039,,"Throughput - Width of Confidence Interval: 0.07167797333947219, Confidence Interval: (0.2662937266605278, 0.40964967333947216)",,,,,,,,,,,,,,,
0.1,55,1,10.1.1.1,10.1.2.2,4008,3231,0.381254,33.3039,,"Latency - Width of Confidence Interval: 6.064310625524301, Confidence Interval: (29.4404093744757, 41.5690306255243)",,,,,,,,,,,,,,,
0.1,65,1,10.1.1.1,10.1.2.2,4898,3956,0.302737,35.8151,,,,,,,,,,,,,,,,,
0.1,75,1,10.1.1.1,10.1.2.2,6942,5608,0.366941,40.7312,,,,,,,,,,,,,,,,,
0.1,85,1,10.1.1.1,10.1.2.2,7776,6279,0.356491,39.4081,,,,,,,,,,,,,,,,,
